relative_path,file_type,size_bytes,modified_time_utc,sha256
.gitattributes,none,487,2026-09-03T09:08:23Z,d7d8bf9cc83a7167586ad7178ea4fe216c74379065aa1a5c1826019238a751fe
.gitignore,none,422,2026-09-03T09:05:55Z,7516598020b340b3956f8ea7f075c624c794fc6cfaecfca894e8e1012d5b62bc
README.md,md,8198,2026-09-03T09:11:15Z,080543d3d516da0e2ea3c902a559a90caa3b6318b4eca9d75b2369befe319e7e
README.zh-CN.md,md,2412,2026-09-03T09:11:15Z,4a61b7b9438cf8d1fc1062b15f4ed40c87fd82247a38bf620157104051a9bb4b
SHA256SUMS.txt,txt,5000,2026-09-03T09:11:15Z,b14d0b34b8dbefadce371b33a504c09826c0eecbe4fda33a379811418a59969b
THIRD_PARTY_NOTICES.md,md,1098,2026-09-03T09:05:55Z,3b524692d50fed3f20d3967bd05bb99fd028ef4083f592bdfb4f8b585b6e2e3b
docs/duplicate-report.md,md,2534,2026-09-03T09:11:15Z,5ab630495c8f27b97bbd16d3f2a6483e11bd1668ce375f36fd68aee9bf198276
docs/excluded-files.md,md,1644,2026-09-03T09:08:23Z,0b3c76e721010f7d351009fd3cb1a9d20ef7a77c139214179972f9274daa7f10
docs/github-update.md,md,2072,2026-09-03T09:11:15Z,f0cda8e2f9430a757f004946621138c0326483a5e2cea7f8ffc9e2bc15ada696
docs/mindvision-camera-sdk.md,md,3555,2026-09-03T09:05:55Z,46a1e640fc4f4345b56c26b7837a0b132fe10d9a9a2ecb66db027ce6070f77f8
docs/name-map.csv,csv,9084,2026-09-03T09:11:15Z,ece31ba87511bb41fbf3d8e18fea0cb1bebc89ca769784265448343607b7ccff
docs/original-materials/README.md,md,509,2026-09-03T09:09:57Z,49256562a6db3d4a1334c1b181fb4d676c2796f2e0f960ae281545f8a70ea74c
docs/original-materials/SerialDebugger_LegacyGuide_Redacted.docx,docx,12598,2026-09-03T09:04:32Z,51736b7efd4c32dac6fc7f7a47f139ef8bef18551f40032deaff4f9838fb3e48
docs/renaming-notes.md,md,1922,2026-09-03T09:05:55Z,fb034d39d327fab00309699e12f211144409f83eda37f43a556fa37239821287
docs/serial-debugger-guide.md,md,1596,2026-09-03T09:08:23Z,bb69ac49d4d7f89d91f67aa842a3df4183ae8989d7de72302d9ee69a17913777
docs/source-inventory.md,md,7905,2026-09-03T09:08:23Z,bc08549060ebaf9362cbc778e777d49188ac47987714ebfa421522e954ecab77
scripts/start-labview-with-mindvision-dll.cmd,cmd,863,2026-09-03T09:05:55Z,ba67870b8af1b9f2ff708b5db35e365058801b9f288b3403ce60c017bb429368
scripts/verify-manifest.py,py,1500,2026-09-03T09:05:55Z,8aa75a33b0df12a36b80a52e848273e5e8069a9d2311dc343f3e6e8b7fd71620
src/CameraSerialController_2024-04-21.vi,vi,1105012,2026-09-03T09:05:55Z,aaf03825fccac1b6aad490e4af40b1839052f7a56b180615f3cbe566d4a4a8ba
src/CameraSerialController_2024-05-12.vi,vi,1105685,2026-09-03T09:05:55Z,98f938ea8b7eca6072df893f61d4c33870683c9e9f5b9080f4fff6a85c29c3c5
src/CameraSerialController_Experiment5555.vi,vi,1032624,2026-09-03T09:05:55Z,2c1f0172c05c3e12e424b517d2e3184e1743bd812887806ec9083ee5c46d2102
src/CameraSerialController_v04.vi,vi,1039717,2026-09-03T09:05:55Z,a9cb78aa473369b985dc387f054b12677849445e7c5a336624a37acf812f1123
src/CameraSerialController_v06.vi,vi,1050225,2026-09-03T09:05:55Z,a1db53ade790dabb22b1595b932b2008afde8b3ce075af068f5c6e00ba28bdfa
src/CameraSerial_Demo_Legacy.vi,vi,941329,2026-09-03T09:05:55Z,c14b93f13ef6241e9e83cae25a5ea96f59ee38d3f67d4f8d255c92e09b054a7f
src/CameraSobelEdgeDetection.vi,vi,1084442,2026-09-03T09:05:55Z,b930ee6e362a817da6e35e2875c17f0e8d77ae5470a518eb939b91e8d44a4308
src/CameraVision_Demo_Legacy.vi,vi,913488,2026-09-03T09:05:55Z,8a3900fe989878b4ae5e1c1b4441f365bae2c457f2fd0d594887d0c6cd931e7b
src/CameraVision_Demo_v01.vi,vi,949380,2026-09-03T09:05:55Z,14fb43f9601534f26df684bd24ba1fa0cdbbac0dca9a043e5805e6e9ed478233
src/CameraVision_Demo_v02.vi,vi,955573,2026-09-03T09:05:55Z,025cacc16a704cef7a8b09959cc2dc37987526689c25df08fafe256f9fcd2e5b
src/CameraVision_Demo_v03.vi,vi,1014489,2026-09-03T09:05:55Z,48cf5455013a82be7feaf107f898b5ede754e8a613e434d75dae859e6e258ae3
src/DAQmxDigitalOutput_2019-11-01.vi,vi,327724,2026-09-03T09:05:55Z,fd5ecb99aefa015ac6c53b0d2da1e1bc6a78bcb6b8220d942ba1741fda34023c
src/Image for Use_0.vi,vi,18147,2026-09-03T09:05:55Z,562947b810363a2965d49447b521df5c505e08f0071b25c66e969ba6166ae2f9
src/InitializeCamera.vi,vi,32885,2026-09-03T09:05:55Z,6c20d9ae04f4019d8966986573ad28a2307a8ceab85ad03002cd5e2929e3ae35
src/SerialHostUI.vi,vi,24878,2026-09-03T09:05:55Z,312e8ce53963a95db7d745ca58260f4551801701a985bf4e79d5848b3109197e
src/SerialPortConfig_Example.vi,vi,23948,2026-09-03T09:05:55Z,8e94e821680ae96a5e709c7900023073eb8d7073ec1daa51908ebc7b1214cf5d
src/Unclassified_2222.vi,vi,5968,2026-09-03T09:05:55Z,a4c6af095eb9d808904105f252d48f9316121144f1d4780dac0caee7d8a2560c
src/demo/CameraSerialPrototype_111.vi,vi,927203,2026-09-03T09:05:55Z,bce4d3e8cf469f96e7b3a17d071cabfdfa9bdaade097bf6d46ebbf9277215aa4
src/demo/CameraSerialPrototype_222.vi,vi,1056603,2026-09-03T09:05:55Z,74e68d9a973fcd783a088a0080fae2ca55a6f3683b870aeda1f8734455f0a94d
src/demo/CloseIMAQdxCamera.vi,vi,8092,2026-09-03T09:05:55Z,e403b316d5ddbc589721268fde2a11661371e3c714f76f7eda8d4acecf483b1f
src/demo/Image for Use_0.vi,vi,18147,2026-09-03T09:05:55Z,7d7cd3ac4da60e27cd176ff033cf85dbcc033dce6c2c362c914a643c93b94df4
src/serial-debugger/SerialDebugger.lvproj,lvproj,1825,2026-09-03T09:05:55Z,26a92b9c0e33aeaf0437aa5faaf231105b126862f1784b13728ac3a56eb9edca
src/serial-debugger/SubVI/Demo/PlotMultipleXYCurves.vi,vi,15388,2026-09-03T09:05:55Z,f86b9beec963bcb1bf34d596ba7c04bb27021e737cd377736dcd83850eb451ed
src/serial-debugger/SubVI/Demo/SerialCommunication_Demo.vi,vi,25668,2026-09-03T09:05:55Z,3677e735798e00df7898d3d6267e2e04e32ec6ab3e57ca716cb0d423347288f1
src/serial-debugger/SubVI/Demo/状态机.ctl,ctl,13183,2026-09-03T09:05:55Z,8d482343064fbebd4d9b82b39fcb6c86689ef14ccd7be959d42ce2cd2a614c5c
src/serial-debugger/SubVI/Demo/状态机0.ctl,ctl,6220,2026-09-03T09:05:55Z,24e20c887ccfd8e909ba39ddc7e8381a09cba32bad9f9f80029589ee26e14f9a
src/serial-debugger/documentation/README.md,md,568,2026-09-03T09:08:23Z,a81e9ca8e222e4fc2a61f9c0c45466ecc99afb10416c6a8d55dd8587655d335a
src/serial-debugger/user-interface/PlanckExperiment_LegacyMain.vi,vi,44071,2026-09-03T09:05:55Z,11fdad5a2699375d4b594b3341bf66723a4d66c716ebc15bd84da9537a5de3b1
src/serial-debugger/user-interface/PlanckExperiment_LegacyMain_Copy.vi,vi,44015,2026-09-03T09:05:55Z,942c0cadaf06ee7c878aed8447bade774669a9535114f3885edd0392c1f4a8cf
src/serial-debugger/user-interface/PlanckExperiment_Main.vi,vi,97881,2026-09-03T09:05:55Z,a24c8e93d717f4bcba6b820e8d3320d94a393a5b0ea3a97d2b0129522e4f834a
src/控件 1.ctl,ctl,4235,2026-09-03T09:05:55Z,ebe0909ce17d9426f4e88eb41d6128c34ecef57df237e2bd219ed56e77d471c1
third_party/mindvision/README.md,md,483,2026-09-03T09:05:55Z,0c13661e7d263db7c53557566ace372caadc1bd2badc3fe833968e0486e07559
third_party/mindvision/bin/win32/MVCAMSDK.dll,dll,9115248,2026-09-03T08:31:32Z,8b2e43458102257bbbb4de0bfb4c7f61a9dcb94c17f8d035ae48462cfd041a7a
