original_path,existing_github_or_previous_path,final_path,category,action,source_sha256,final_sha256,notes
1111.vi,src/SerialPortConfig_Example.vi,src/SerialPortConfig_Example.vi,serial,renamed,8e94e821680ae96a5e709c7900023073eb8d7073ec1daa51908ebc7b1214cf5d,8e94e821680ae96a5e709c7900023073eb8d7073ec1daa51908ebc7b1214cf5d,Serial-port configuration example.
20191101DEMO.vi,src/DAQmxDigitalOutput_2019-11-01.vi,src/DAQmxDigitalOutput_2019-11-01.vi,daq-camera,renamed,fd5ecb99aefa015ac6c53b0d2da1e1bc6a78bcb6b8220d942ba1741fda34023c,fd5ecb99aefa015ac6c53b0d2da1e1bc6a78bcb6b8220d942ba1741fda34023c,DAQmx digital output example; original date retained in ISO format.
2222.vi,src/Unclassified_2222.vi,src/Unclassified_2222.vi,unclassified,renamed,a4c6af095eb9d808904105f252d48f9316121144f1d4780dac0caee7d8a2560c,a4c6af095eb9d808904105f252d48f9316121144f1d4780dac0caee7d8a2560c,Purpose cannot be determined reliably from static metadata.
Demo.vi,src/CameraVision_Demo_v01.vi,src/CameraVision_Demo_v01.vi,camera-vision,renamed,14fb43f9601534f26df684bd24ba1fa0cdbbac0dca9a043e5805e6e9ed478233,14fb43f9601534f26df684bd24ba1fa0cdbbac0dca9a043e5805e6e9ed478233,First camera/vision demo snapshot.
Demo2.vi,src/CameraVision_Demo_v02.vi,src/CameraVision_Demo_v02.vi,camera-vision,renamed,025cacc16a704cef7a8b09959cc2dc37987526689c25df08fafe256f9fcd2e5b,025cacc16a704cef7a8b09959cc2dc37987526689c25df08fafe256f9fcd2e5b,Second camera/vision demo snapshot.
Demo3.vi,src/CameraVision_Demo_v03.vi,src/CameraVision_Demo_v03.vi,camera-vision,renamed,48cf5455013a82be7feaf107f898b5ede754e8a613e434d75dae859e6e258ae3,48cf5455013a82be7feaf107f898b5ede754e8a613e434d75dae859e6e258ae3,Third camera/vision demo snapshot.
Demo删除.vi,src/CameraVision_Demo_Legacy.vi,src/CameraVision_Demo_Legacy.vi,camera-vision,renamed,8a3900fe989878b4ae5e1c1b4441f365bae2c457f2fd0d594887d0c6cd931e7b,8a3900fe989878b4ae5e1c1b4441f365bae2c457f2fd0d594887d0c6cd931e7b,Legacy snapshot; original name indicated deletion.
Demo2删除.vi,src/CameraSerial_Demo_Legacy.vi,src/CameraSerial_Demo_Legacy.vi,camera-serial,renamed,c14b93f13ef6241e9e83cae25a5ea96f59ee38d3f67d4f8d255c92e09b054a7f,c14b93f13ef6241e9e83cae25a5ea96f59ee38d3f67d4f8d255c92e09b054a7f,Legacy camera/serial snapshot; original name indicated deletion.
Demo4.vi,src/CameraSerialController_v04.vi,src/CameraSerialController_v04.vi,camera-serial,renamed,a9cb78aa473369b985dc387f054b12677849445e7c5a336624a37acf812f1123,a9cb78aa473369b985dc387f054b12677849445e7c5a336624a37acf812f1123,Camera and serial controller version 04.
Demo6.vi,src/CameraSerialController_v06.vi,src/CameraSerialController_v06.vi,camera-serial,renamed,a1db53ade790dabb22b1595b932b2008afde8b3ce075af068f5c6e00ba28bdfa,a1db53ade790dabb22b1595b932b2008afde8b3ce075af068f5c6e00ba28bdfa,Camera and serial controller version 06.
Demo5555.vi,src/CameraSerialController_Experiment5555.vi,src/CameraSerialController_Experiment5555.vi,camera-serial,renamed,2c1f0172c05c3e12e424b517d2e3184e1743bd812887806ec9083ee5c46d2102,2c1f0172c05c3e12e424b517d2e3184e1743bd812887806ec9083ee5c46d2102,Experimental identifier 5555 retained.
Demo_new.vi,src/CameraSerialController_2024-04-21.vi,src/CameraSerialController_2024-04-21.vi,camera-serial,renamed,aaf03825fccac1b6aad490e4af40b1839052f7a56b180615f3cbe566d4a4a8ba,aaf03825fccac1b6aad490e4af40b1839052f7a56b180615f3cbe566d4a4a8ba,Ambiguous “new” replaced with the source modification date.
Demo_20240512.vi,src/CameraSerialController_2024-05-12.vi,src/CameraSerialController_2024-05-12.vi,camera-serial,renamed,98f938ea8b7eca6072df893f61d4c33870683c9e9f5b9080f4fff6a85c29c3c5,98f938ea8b7eca6072df893f61d4c33870683c9e9f5b9080f4fff6a85c29c3c5,Date normalized to ISO format.
Demo_sobel.vi,src/CameraSobelEdgeDetection.vi,src/CameraSobelEdgeDetection.vi,camera-vision,renamed,b930ee6e362a817da6e35e2875c17f0e8d77ae5470a518eb939b91e8d44a4308,b930ee6e362a817da6e35e2875c17f0e8d77ae5470a518eb939b91e8d44a4308,Contains Sobel/edge-detection related calls.
Image for Use_0.vi,src/Image for Use_0.vi,src/Image for Use_0.vi,shared-image,retained_dependency,562947b810363a2965d49447b521df5c505e08f0071b25c66e969ba6166ae2f9,562947b810363a2965d49447b521df5c505e08f0071b25c66e969ba6166ae2f9,Referenced by multiple VIs; English name retained exactly for binary path compatibility.
Initialize the camera.vi,src/InitializeCamera.vi,src/InitializeCamera.vi,camera,renamed,6c20d9ae04f4019d8966986573ad28a2307a8ceab85ad03002cd5e2929e3ae35,6c20d9ae04f4019d8966986573ad28a2307a8ceab85ad03002cd5e2929e3ae35,Concise action/object name.
